StationUID,ServiceAvailable,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime
TXG3001,1,43,52,2020-07-23T09:36:34+08:00
TXG3002,1,71,25,2020-07-23T09:36:18+08:00
TXG3003,1,39,15,2020-07-23T09:36:16+08:00
TXG3004,1,27,33,2020-07-23T09:36:26+08:00
TXG3005,1,20,20,2020-07-23T09:36:28+08:00
TXG3006,1,48,10,2020-07-23T09:36:33+08:00
TXG3007,1,21,19,2020-07-23T09:36:32+08:00
TXG3008,1,32,6,2020-07-23T09:36:29+08:00
TXG3009,1,26,14,2020-07-23T09:36:43+08:00
TXG3010,1,51,25,2020-07-23T09:36:15+08:00
TXG3011,1,21,23,2020-07-23T09:36:43+08:00
TXG3012,1,25,18,2020-07-23T09:36:38+08:00
TXG3013,1,22,26,2020-07-23T09:36:29+08:00
TXG3014,1,31,19,2020-07-23T09:36:27+08:00
TXG3015,1,35,31,2020-07-23T09:36:23+08:00
TXG3016,1,18,36,2020-07-23T09:36:17+08:00
TXG3017,1,34,24,2020-07-23T09:36:42+08:00
TXG3018,1,31,23,2020-07-23T09:36:37+08:00
TXG3019,1,16,36,2020-07-23T09:36:35+08:00
TXG3020,1,21,26,2020-07-23T09:36:40+08:00
TXG3021,1,31,9,2020-07-23T09:36:36+08:00
TXG3022,1,40,42,2020-07-23T09:35:19+08:00
TXG3023,1,16,30,2020-07-23T09:36:21+08:00
TXG3024,1,18,30,2020-07-23T09:36:40+08:00
TXG3025,1,15,26,2020-07-23T09:36:27+08:00
TXG3026,1,23,19,2020-07-23T09:36:25+08:00
TXG3027,1,36,24,2020-07-23T09:36:37+08:00
TXG3028,1,23,17,2020-07-23T09:36:34+08:00
TXG3029,1,13,26,2020-07-23T09:36:36+08:00
TXG3030,1,20,20,2020-07-23T09:36:44+08:00
TXG3031,1,27,9,2020-07-23T09:36:37+08:00
TXG3032,1,26,30,2020-07-23T09:36:38+08:00
TXG3033,1,24,10,2020-07-23T09:36:20+08:00
TXG3034,1,40,24,2020-07-23T09:36:43+08:00
TXG3035,1,43,13,2020-07-23T09:36:26+08:00
TXG3036,1,7,51,2020-07-23T09:36:15+08:00
TXG3037,1,33,14,2020-07-23T09:36:20+08:00
TXG3038,1,0,0,2020-06-16T13:42:43+08:00
TXG3039,1,23,29,2020-07-23T09:36:17+08:00
TXG3040,1,15,25,2020-07-23T09:36:16+08:00
TXG3041,1,25,25,2020-07-23T09:36:30+08:00
TXG3042,1,36,24,2020-07-23T09:36:27+08:00
TXG3043,1,14,36,2020-07-23T09:36:44+08:00
TXG3044,1,11,28,2020-07-23T09:36:26+08:00
TXG3045,1,57,13,2020-07-23T09:36:44+08:00
TXG3046,1,19,25,2020-07-23T09:36:29+08:00
TXG3047,1,49,11,2020-07-23T09:36:40+08:00
TXG3048,1,20,28,2020-07-23T09:36:27+08:00
TXG3049,1,21,21,2020-07-23T09:36:30+08:00
TXG3050,1,22,22,2020-07-23T09:36:44+08:00
TXG3051,1,11,25,2020-07-23T09:36:33+08:00
TXG3052,1,18,30,2020-07-23T09:36:39+08:00
TXG3053,1,13,31,2020-07-23T09:36:18+08:00
TXG3054,1,17,29,2020-07-23T09:36:47+08:00
TXG3055,1,27,19,2020-07-23T09:36:32+08:00
TXG3056,1,24,21,2020-07-23T09:36:30+08:00
TXG3057,1,24,26,2020-07-23T09:36:17+08:00
TXG3058,1,14,26,2020-07-23T09:36:19+08:00
TXG3059,1,19,17,2020-07-23T09:36:37+08:00
TXG3060,1,2,46,2020-07-23T09:36:43+08:00
TXG3061,1,16,24,2020-07-23T09:36:45+08:00
TXG3062,1,17,23,2020-07-23T09:36:33+08:00
TXG3063,1,20,24,2020-07-23T09:36:34+08:00
TXG3064,1,24,18,2020-07-23T09:36:23+08:00
TXG3065,1,26,14,2020-07-23T09:36:41+08:00
TXG3066,1,18,26,2020-07-23T09:36:43+08:00
TXG3067,1,36,4,2020-07-23T09:36:38+08:00
TXG3068,1,10,20,2020-07-23T09:36:16+08:00
TXG3069,1,14,23,2020-07-23T09:36:26+08:00
TXG3070,1,11,27,2020-07-23T09:36:33+08:00
TXG3071,1,15,26,2020-07-23T09:36:40+08:00
TXG3072,1,15,14,2020-07-23T09:36:42+08:00
TXG3073,1,9,37,2020-07-23T09:36:17+08:00
